wgs_id	color	continent
SRR1661153	#f0027f	North America
SRR1661154	#f0027f	North America
SRR1661155	#f0027f	North America
SRR1661156	#f0027f	North America
SRR1661157	#f0027f	North America
SRR1661158	#f0027f	North America
SRR1661159	#f0027f	North America
SRR1661161	#f0027f	North America
SRR1661162	#f0027f	North America
SRR1661163	#f0027f	North America
SRR1661164	#f0027f	North America
SRR1661165	#f0027f	North America
SRR1661166	#f0027f	North America
SRR1661167	#f0027f	North America
SRR1661171	#f0027f	North America
SRR1661172	#f0027f	North America
SRR1661174	#f0027f	North America
SRR1661177	#f0027f	North America
SRR1661179	#f0027f	North America
SRR1661180	#f0027f	North America
SRR1661181	#f0027f	North America
SRR1661182	#f0027f	North America
SRR1661184	#f0027f	North America
SRR1661185	#f0027f	North America
SRR1661187	#f0027f	North America
SRR1661190	#f0027f	North America
SRR1661191	#f0027f	North America
SRR1661192	#f0027f	North America
SRR1661193	#f0027f	North America
SRR1661194	#f0027f	North America
SRR1661195	#f0027f	North America
SRR1661201	#f0027f	North America
SRR1661202	#f0027f	North America
SRR1661203	#f0027f	North America
SRR1661206	#f0027f	North America
SRR1661209	#f0027f	North America
SRR1661210	#f0027f	North America
SRR1661211	#f0027f	North America
SRR1661214	#f0027f	North America
SRR1661215	#f0027f	North America
SRR1661224	#f0027f	North America
SRR1661225	#f0027f	North America
SRR1661228	#f0027f	North America
SRR1661233	#f0027f	North America
SRR1661234	#f0027f	North America
SRR1661235	#f0027f	North America
SRR1661236	#f0027f	North America
SRR1661237	#f0027f	North America
SRR1661238	#f0027f	North America
SRR1661239	#f0027f	North America
SRR1661240	#f0027f	North America
SRR1661241	#f0027f	North America
SRR1661243	#f0027f	North America
SRR1661255	#f0027f	North America
SRR1661256	#f0027f	North America
SRR1661258	#f0027f	North America
SRR1661260	#f0027f	North America
SRR1661261	#f0027f	North America
SRR1661262	#f0027f	North America
SRR1661263	#f0027f	North America
SRR1661265	#f0027f	North America
SRR1661266	#f0027f	North America
SRR1661267	#f0027f	North America
SRR1661272	#f0027f	North America
SRR1661275	#f0027f	North America
SRR1661280	#f0027f	North America
SRR1661281	#f0027f	North America
SRR1661282	#f0027f	North America
SRR1661285	#f0027f	North America
SRR1661286	#f0027f	North America
SRR1661287	#f0027f	North America
SRR1661288	#f0027f	North America
SRR1661289	#f0027f	North America
SRR1661291	#f0027f	North America
SRR1661292	#f0027f	North America
SRR1661293	#f0027f	North America
SRR1661295	#f0027f	North America
SRR1661307	#f0027f	North America
SRR1661309	#f0027f	North America
SRR1661313	#f0027f	North America
SRR1661315	#f0027f	North America
SRR1661316	#f0027f	North America
SRR1661317	#f0027f	North America
SRR1661318	#f0027f	North America
SRR1661319	#f0027f	North America
SRR1661320	#f0027f	North America
SRR1661321	#f0027f	North America
SRR1661322	#f0027f	North America
SRR3357011	#386cb0	Europe
SRR3357028	#386cb0	Europe
SRR3357077	#386cb0	Europe
SRR3357157	#386cb0	Europe
SRR3357160	#386cb0	Europe
SRR3357181	#386cb0	Europe
SRR3357186	#386cb0	Europe
SRR3357191	#386cb0	Europe
SRR3357192	#386cb0	Europe
SRR3357194	#386cb0	Europe
SRR3357229	#386cb0	Europe
SRR3357246	#386cb0	Europe
SRR3357252	#386cb0	Europe
SRR3357260	#386cb0	Europe
SRR3357263	#386cb0	Europe
SRR3357264	#386cb0	Europe
SRR3357288	#386cb0	Europe
SRR3357289	#386cb0	Europe
SRR3357305	#386cb0	Europe
SRR3357314	#386cb0	Europe
SRR3360605	#386cb0	Europe
SRR3360606	#386cb0	Europe
SRR3360607	#386cb0	Europe
SRR3360608	#386cb0	Europe
SRR3360609	#386cb0	Europe
SRR3360610	#386cb0	Europe
SRR3360612	#386cb0	Europe
SRR3360613	#386cb0	Europe
SRR3360614	#386cb0	Europe
SRR3360615	#386cb0	Europe
SRR3360616	#386cb0	Europe
SRR3360617	#386cb0	Europe
SRR3360618	#386cb0	Europe
SRR3360619	#386cb0	Europe
SRR3360622	#386cb0	Europe
SRR3360624	#386cb0	Europe
SRR3360625	#386cb0	Europe
SRR3360627	#386cb0	Europe
SRR3360628	#386cb0	Europe
SRR3360629	#386cb0	Europe
SRR3360630	#386cb0	Europe
SRR3360632	#386cb0	Europe
SRR3360633	#386cb0	Europe
SRR3360634	#386cb0	Europe
SRR3360635	#386cb0	Europe
SRR3360636	#386cb0	Europe
SRR3360637	#386cb0	Europe
SRR3360638	#386cb0	Europe
SRR3360639	#386cb0	Europe
SRR3360640	#386cb0	Europe
SRR3360641	#386cb0	Europe
SRR3360642	#386cb0	Europe
SRR3360644	#386cb0	Europe
SRR3360645	#386cb0	Europe
SRR3360646	#386cb0	Europe
SRR3360647	#386cb0	Europe
SRR3360648	#386cb0	Europe
SRR3360649	#386cb0	Europe
SRR3360650	#386cb0	Europe
SRR3360651	#386cb0	Europe
SRR3360652	#386cb0	Europe
SRR3360653	#386cb0	Europe
SRR3360654	#386cb0	Europe
SRR3360658	#386cb0	Europe
SRR3360659	#386cb0	Europe
SRR3360661	#386cb0	Europe
SRR3360662	#386cb0	Europe
SRR3360663	#386cb0	Europe
SRR3360664	#386cb0	Europe
SRR3360665	#386cb0	Europe
SRR3360667	#386cb0	Europe
SRR3360669	#386cb0	Europe
SRR3360670	#386cb0	Europe
SRR3360671	#386cb0	Europe
SRR3360672	#386cb0	Europe
SRR3360674	#386cb0	Europe
SRR3360675	#386cb0	Europe
SRR3360677	#386cb0	Europe
SRR3360678	#386cb0	Europe
SRR3360679	#386cb0	Europe
SRR3360680	#386cb0	Europe
SRR3360681	#386cb0	Europe
SRR3360683	#386cb0	Europe
SRR3360684	#386cb0	Europe
SRR3360685	#386cb0	Europe
SRR3360686	#386cb0	Europe
SRR3360687	#386cb0	Europe
SRR3360688	#386cb0	Europe
SRR3360689	#386cb0	Europe
SRR3360690	#386cb0	Europe
SRR3360691	#386cb0	Europe
SRR3360692	#386cb0	Europe
SRR3360693	#386cb0	Europe
SRR3360694	#386cb0	Europe
SRR3360696	#386cb0	Europe
SRR3360697	#386cb0	Europe
SRR3360698	#386cb0	Europe
SRR3360700	#386cb0	Europe
SRR3360701	#386cb0	Europe
SRR3360702	#386cb0	Europe
SRR3360703	#386cb0	Europe
SRR3360704	#386cb0	Europe
SRR3360705	#386cb0	Europe
SRR3360706	#386cb0	Europe
SRR3360707	#386cb0	Europe
SRR3360708	#386cb0	Europe
SRR3360709	#386cb0	Europe
SRR3360710	#386cb0	Europe
SRR3360711	#386cb0	Europe
SRR3360712	#386cb0	Europe
SRR3360713	#386cb0	Europe
SRR3360714	#386cb0	Europe
