wgs_id	susceptible_triangle	resistant_triangle
SRR969361	0	-1
SRR969374	0	-1
SRR969395	0	-1
GCGS1062	0	-1
ERR363638	0	-1
ERR388321	0	-1
ERR388353	0	-1
ERR388354	0	-1
ERR388360	0	-1
ERR388406	0	-1
ERR3623480	0	-1
ERR3623172	0	-1
ERR3325459	0	-1
ERR3851687	0	-1
ERR3851855	0	-1
SRR11904456	0	-1
SRR11904015	0	-1
SRR11904095	0	-1
SRR11904007	0	-1
SRR11904003	0	-1
SRR11904006	0	-1
SRR11903999	0	-1
SRR969346	-1	1
SRR969366	-1	1
SRR969370	-1	1
SRR969371	-1	1
SRR969381	-1	1
GCGS0089	-1	1
SRR5827113	-1	1
ERR388294	-1	1
ERR449524	-1	1
ERR3623479	-1	1
ERR3623183	-1	1
ERR3623145	-1	1
BH23	-1	1
BH105	-1	1
BR18	-1	1
BR65	-1	1
POA20	-1	1
POA46	-1	1
SA19	-1	1
SA23	-1	1
SA99	-1	1
SP11	-1	1
ERR4161243	-1	1
ERR3851878	-1	1
SRR11904030	-1	1
SRR11903911	-1	1
SRR11904016	-1	1
SRR8833504	-1	1
