wgs_id	color	tetM
101M	#d7b5d8	0
102M	#d7b5d8	0
103MA	#ce1256	1
103MB	#d7b5d8	0
112M	#d7b5d8	0
118M	#d7b5d8	0
11M	#d7b5d8	0
13M	#d7b5d8	0
146M	#d7b5d8	0
154M	#ce1256	1
156MA	#d7b5d8	0
156MB	#d7b5d8	0
157M	#d7b5d8	0
15M	#d7b5d8	0
163M	#d7b5d8	0
17966_3#11	#d7b5d8	0
17966_3#12	#ce1256	1
17966_3#13	#d7b5d8	0
17966_3#14	#d7b5d8	0
17966_3#15	#d7b5d8	0
17966_3#16	#d7b5d8	0
17966_3#17	#d7b5d8	0
17966_3#18	#d7b5d8	0
17966_3#19	#d7b5d8	0
17966_3#20	#d7b5d8	0
17966_3#21	#ce1256	1
17966_3#22	#d7b5d8	0
17966_3#23	#d7b5d8	0
17966_3#24	#d7b5d8	0
17966_3#25	#d7b5d8	0
17966_3#26	#d7b5d8	0
17966_3#27	#ce1256	1
17966_3#28	#d7b5d8	0
17966_3#29	#d7b5d8	0
17966_3#30	#d7b5d8	0
17966_3#31	#d7b5d8	0
17966_3#32	#d7b5d8	0
17966_3#33	#d7b5d8	0
17966_3#34	#d7b5d8	0
17966_3#35	#d7b5d8	0
17966_3#36	#d7b5d8	0
17966_3#37	#d7b5d8	0
17966_3#38	#d7b5d8	0
17966_3#39	#d7b5d8	0
17966_3#40	#d7b5d8	0
17966_3#41	#ce1256	1
17966_3#42	#ce1256	1
17966_3#43	#d7b5d8	0
17966_3#44	#d7b5d8	0
17966_3#45	#d7b5d8	0
17966_3#46	#d7b5d8	0
17966_3#47	#d7b5d8	0
17966_3#48	#d7b5d8	0
17966_3#49	#d7b5d8	0
17966_3#50	#d7b5d8	0
17966_3#51	#d7b5d8	0
17966_3#52	#d7b5d8	0
20097D-01	#d7b5d8	0
21242_3#100	#d7b5d8	0
21242_3#101	#d7b5d8	0
21242_3#102	#d7b5d8	0
21242_3#103	#d7b5d8	0
21242_3#104	#d7b5d8	0
21242_3#105	#ce1256	1
21242_3#106	#d7b5d8	0
21242_3#107	#d7b5d8	0
21242_3#108	#ce1256	1
21242_3#109	#d7b5d8	0
21242_3#10	#d7b5d8	0
21242_3#110	#d7b5d8	0
21242_3#112	#d7b5d8	0
21242_3#113	#d7b5d8	0
21242_3#114	#d7b5d8	0
21242_3#115	#d7b5d8	0
21242_3#116	#d7b5d8	0
21242_3#117	#d7b5d8	0
21242_3#118	#d7b5d8	0
21242_3#119	#d7b5d8	0
21242_3#11	#d7b5d8	0
21242_3#120	#d7b5d8	0
21242_3#122	#d7b5d8	0
21242_3#123	#d7b5d8	0
21242_3#124	#d7b5d8	0
21242_3#125	#d7b5d8	0
21242_3#126	#d7b5d8	0
21242_3#127	#d7b5d8	0
